Retailer_ID,Inventory_Frequency,Reason_Unavailability,Customer_Loss_Percentage,Decline_in_Repeat_Customers,Offer_Alternatives,Interest_in_System
R1,Rarely,Supply chain delays,<10%,No,"Yes, provide an option to order",No
R2,Monthly,Supply chain delays,<10%,Yes,"Yes, provide an option to order",Yes
R3,Rarely,Supply chain delays,26-50%,No,"Yes, suggest similar models",Yes
R4,Weekly,Manufacturer limitations,26-50%,No,"Yes, provide an option to order",No
R5,Daily,Manufacturer limitations,10-25%,Yes,No,No
R6,Weekly,Insufficient demand forecasting,<10%,Yes,No,Yes
R7,Weekly,Other,<10%,No,"Yes, provide an option to order",Yes
R8,Rarely,Supply chain delays,10-25%,No,"Yes, suggest similar models",Yes
R9,Weekly,Insufficient demand forecasting,10-25%,Yes,"Yes, suggest similar models",Yes
R10,Weekly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R11,Weekly,Insufficient demand forecasting,10-25%,Yes,"Yes, provide an option to order",No
R12,Daily,Insufficient demand forecasting,26-50%,Yes,"Yes, provide an option to order",Yes
R13,Monthly,Insufficient demand forecasting,26-50%,No,"Yes, provide an option to order",Yes
R14,Daily,Supply chain delays,26-50%,Yes,No,Yes
R15,Daily,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R16,Daily,Insufficient demand forecasting,<10%,Yes,No,Yes
R17,Daily,Other,10-25%,Yes,"Yes, provide an option to order",Yes
R18,Monthly,Insufficient demand forecasting,<10%,Yes,"Yes, suggest similar models",Yes
R19,Weekly,Supply chain delays,10-25%,No,No,No
R20,Weekly,Other,<10%,No,"Yes, provide an option to order",Yes
R21,Daily,Manufacturer limitations,<10%,Yes,"Yes, suggest similar models",Yes
R22,Weekly,Supply chain delays,26-50%,No,"Yes, provide an option to order",Yes
R23,Monthly,Manufacturer limitations,>50%,No,"Yes, suggest similar models",Yes
R24,Daily,Insufficient demand forecasting,<10%,No,"Yes, suggest similar models",Yes
R25,Monthly,Insufficient demand forecasting,26-50%,Yes,"Yes, suggest similar models",No
R26,Daily,Supply chain delays,>50%,Yes,No,Yes
R27,Monthly,Other,26-50%,No,No,No
R28,Weekly,Supply chain delays,10-25%,Yes,No,Yes
R29,Daily,Supply chain delays,10-25%,No,"Yes, suggest similar models",Yes
R30,Weekly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R31,Weekly,Insufficient demand forecasting,26-50%,No,"Yes, provide an option to order",Yes
R32,Daily,Supply chain delays,<10%,Yes,"Yes, provide an option to order",Yes
R33,Daily,Other,<10%,Yes,"Yes, provide an option to order",No
R34,Rarely,Supply chain delays,<10%,No,"Yes, suggest similar models",Yes
R35,Monthly,Supply chain delays,10-25%,Yes,"Yes, suggest similar models",Yes
R36,Rarely,Manufacturer limitations,10-25%,No,"Yes, suggest similar models",Yes
R37,Daily,Manufacturer limitations,26-50%,No,"Yes, suggest similar models",Yes
R38,Monthly,Supply chain delays,10-25%,No,"Yes, provide an option to order",Yes
R39,Weekly,Supply chain delays,<10%,Yes,"Yes, suggest similar models",Yes
R40,Daily,Supply chain delays,<10%,No,"Yes, provide an option to order",Yes
R41,Monthly,Other,10-25%,No,"Yes, suggest similar models",Yes
R42,Monthly,Supply chain delays,10-25%,No,No,Yes
